channel_number,channel_id,stream_id,stream_name,stream_url,channel_group_id,timestamp,video_codec,audio_codec,interlaced_status,status,bitrate_kbps,fps,resolution,frames_decoded,frames_dropped,err_decode,err_discontinuity,err_timeout
1.0,1,117217,|UK| BBC One Yorkshire & Lincolnshire ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/690826.ts,835,2025-12-14T15:46:27.468107,h264,ac3,PROGRESSIVE,OK,4812.6456,25.0,1920x1080,315.0,0.0,False,False,True
1.0,1,52137,UK| BBC ONE YORK SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/40086.ts,835,2025-12-14T15:46:29.254486,h264,ac3,PROGRESSIVE,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
1.0,1,49799,UK: BBC One East Yorkshire and Lincolnshire,http://easyip.xyz/live/g38Stuew/j7jmCpJ/10694.ts,835,2025-12-14T15:46:40.854757,h264,ac3,PROGRESSIVE,OK,5840.8728,25.0,1920x1080,315.0,0.0,False,False,False
403.0,44,61969,|UK| Sky Sports Football ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/693877.ts,3440,2025-12-14T16:09:46.851377,hevc,aac,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
403.0,44,109985,|UK| Sky Sports Football ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/693877.ts,3440,2025-12-14T16:09:46.851744,hevc,aac,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
403.0,44,110022,|UK| SKY SPORTS FOOTBALL ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/138135.ts,3440,2025-12-14T16:09:57.667576,h264,aac,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
403.0,44,62006,|UK| SKY SPORTS FOOTBALL ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/138135.ts,3440,2025-12-14T16:09:57.783900,h264,aac,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
403.0,44,110573,|UK| SKY SPORTS FOOTBALL ᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/10516.ts,3440,2025-12-14T16:10:08.563284,h264,aac,PROGRESSIVE,OK,3078.0624,50.0,1280x720,476.0,0.0,False,False,False
403.0,44,62557,|UK| SKY SPORTS FOOTBALL ᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/10516.ts,3440,2025-12-14T16:10:08.699423,h264,aac,UNKNOWN,OK,N/A,50.0,1280x720,N/A,N/A,False,False,False
403.0,44,23375,VIP: SKY SPORTS FOOTBALL ᴿᴬᵂ ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290205.ts,3440,2025-12-14T16:10:20.087405,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
